,CO,C1CCOCC1,C1=CC=NC=C1,CS,C1CCOC1,C[NH3+],C,C1CC1,C#C,CC,[NH4+],CF,C1CCCC1,C[O-],C=C,[NH2+]=O,CBr,C=O,C1=CC=CC=C1,N,NN,[NH3+][O-],CN,CCl
4-Methoxybenzyl ß-D-glucopyranoside,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
N-(4-Methoxyphenyl)-1-ß-D-glucopyranoside,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
4-Methoxyphenyl-1-thio-ß-D-glucopyranoside,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"1,4-Bis-(ß-D-glucopyranosyl)benzene",8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"1,4-Bis-(ß-D-galactopyranosyl)benzene",8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1-O-(ß-D-Glucopyranosyl)-4-O-(ß-D-galactopyranosyl)benzene,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"1,3-Bis-(ß-D-glucopyranosyl)benzene",8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6-O-(4-Methoxyphenyl)-D-glucopyranoside,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
(4-Pyridinyl) β-D-glucopyranoside,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl-6-O-(α-D-galactopyranosyl) β-D-glucopyranoside,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl-6-O-(α-D-glucopyranosyl) ß-D-glucopyranoside,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl-6-O-(ß-D-glucopyranosyl) ß-D-glucopyranoside,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
