Name,0.2,0.25,0.3,0.35,0.4,0.45,0.5,MinSolv_1,MinSolv_2,Hbonds
Phenyl carbamate,0.0033943571457726463,0.015982369484280924,0.08838361839498766,0.17104894531598638,0.24144126382348743,0.30351334041376943,0.36607018488207316,0.008801177798502794,0.29366236009375646,0.022846584817022994
"3,4-Dihydroxy-L-phenylalanine",0.014531811091319543,0.029068213770413395,0.08669605304088444,0.14312682967732446,0.1995629358987435,0.2566969464647549,0.3131176211462441,0.024980357916570273,0.11127382091689722,0.04660839076558356
"1,3-Thiazole-2-carboxylic acid",0.0,0.008732830887302435,0.09260947607419842,0.15077666870740064,0.22714990499238613,0.31391506120180196,0.3925519157770866,0.0018482525511169215,0.10298215959199154,0.06187632062084045
"2-Methyl-4-phenyl-1,3-thiazole-5-carboxylic acid",0.0,0.00281067503750319,0.07904759691546542,0.14306497902936618,0.2015745011340137,0.253804786924171,0.3036627370673243,0.0,0.23516878624139603,0.034738104320070566
"Imidazo[2,1-b][1,3]thiazole-6-carboxylic acid",0.0,0.010148114135419281,0.08377669358362012,0.13805388571675595,0.20186166184973087,0.27715521126858106,0.34753781262750166,0.0022201574594166206,0.10192013278405457,0.05365581551762582
3-Chloro-L-phenylalanine,0.011979763447828464,0.0274681981701124,0.09304230264862655,0.15299600823350967,0.20787215696568798,0.2660164064329721,0.324234823039753,0.01808417586542307,0.18869831608364612,0.03570360567087017
"2-n-Butylpropane-1,3-diol",0.006356568566142915,0.015818565340382645,0.09948800335740281,0.1740181210986907,0.2313009680310568,0.2820314034452012,0.3410000121082858,0.010006753352169115,0.2647144468406129,0.025152543520350856
"2-tert-Butylpropane-1,3-diol",0.005411046868646585,0.01568516230612558,0.09912547956004143,0.1764348816011662,0.23392871009313995,0.284230988593161,0.337802750866811,0.010139322544410441,0.27016288742708894,0.02433381947736513
3-Aminoisonicotinic acid,0.0011151284039469694,0.013964304651214008,0.10118777039538211,0.1557624165413595,0.21654713151447047,0.29016234446338496,0.3657177901485851,0.003086623509072643,0.13057874445706713,0.06777053402701914
1-Cyclohexyl-1-butanol,0.0013457636424345158,0.008086137737779588,0.09129265308942441,0.1679156496085951,0.21524589812474804,0.2516502403514842,0.2982274746133923,0.00297337781485358,0.23755123939742023,0.009602203717559068
